S.No,mobile,name,category
1,251911205969,2RN SOLOMON FURNITURE AND WOODEN PRODUCTS,Furniture (House & Office)
2,251911233202,A.HA.A GENERAL TRADING PLC,Furniture (House & Office)
3,251911911298,A.S.T Trading,Furniture (House & Office)
4,251927725046,ABADIT HAILEMICHAEL K,Furniture (House & Office)
5,251913713391,ABDULFETA REDWAN HAYREDIN,Furniture (House & Office)
6,251911206676,ABDULJEWAD ABUBEKER MOHAMMED,Furniture (House & Office)
7,251911558597,ABDULMENUR HUSIEN MARSHE,Furniture (House & Office)
8,251911770378,ABDURAHMAN MOHAMMED ALI HUSSIEN,Furniture (House & Office)
9,251911216895,Abduraman Mohamed,Furniture (House & Office)
10,251911925379,ABEBA BALTNA,Furniture (House & Office)
11,251911215780,ABEBE RAHMETO HOUSEHOLD & OFFICE FURNITURE,Furniture (House & Office)
12,251911205386,Abebe Tilahun H/Mariam,Furniture (House & Office)
13,251913039788,ABEL FITA MEKONEN,Furniture (House & Office)
14,251911699003,ABEL NEW & UESD HOUSEHOLD & OFFICE FURNITURE,Furniture (House & Office)
15,251911190024,ABIEL FESSHAYE,Furniture (House & Office)
16,251911232007,ABLANTE FURNITURE,Furniture (House & Office)
17,251911205038,ADANE DESTA W/KIDAN,Furniture (House & Office)
18,251911211621,ADDIS GENERAL TRADING PLC,Furniture (House & Office)
19,251911860273,ADONE TIBEBU BEYENE,Furniture (House & Office)
20,251911241721,ADY TRADING,Furniture (House & Office)
21,251911639493,AFELYS INTERNATIONAL P.L.C,Furniture (House & Office)
22,251911519087,Aha Trading,Furniture (House & Office)
23,251911205071,Ali Hayredin Mohammed,Furniture (House & Office)
24,251911204943,ALUMINUM WORLD TRADING PLC,Furniture (House & Office)
25,251911205136,AM INTERNATIONAL PLC,Furniture (House & Office)
26,251912436976,AMAN HAGOS GEBRE,Furniture (House & Office)
27,251910453777,Amralde Furniture,Furniture (House & Office)
28,251914600973,Arsama Office and House Hold Furniture,Furniture (House & Office)
29,251911671542,Attikum Design & Furniture,Furniture (House & Office)
30,251929002596,B & S Engineering Plc,Furniture (House & Office)
31,251911223040,B TRADE INTERNATIONAL PLC,Furniture (House & Office)
32,251911217754,Balshoy Trading P.L.C,Furniture (House & Office)
33,251937830083,Baroque Interiors and Events,Furniture (House & Office)
34,251912709479,BASKAL ELECTRO MECHANICAL P.L.C,Furniture (House & Office)
35,251911242873,BEFERCOT BALTNA,Furniture (House & Office)
36,251911204554,BEGAT PLC,Furniture (House & Office)
37,251911647812,BEKRI SEID KEDER,Furniture (House & Office)
38,251911234063,Belay Modern Furniture,Furniture (House & Office)
39,251911437458,BELAYNEH ASSEFA,Furniture (House & Office)
40,251911224557,BELAYNESH TEKELE,Furniture (House & Office)
41,251911620154,BENIYAM ALEMU DABI,Furniture (House & Office)
42,251911151428,Beressa Wood Work Investment Plc,Furniture (House & Office)
43,251929446764,Berhan International Plc,Furniture (House & Office)
44,251911211526,BERTA CONSTRUCTION PLC,Furniture (House & Office)
45,251911212129,Binet Shewangizaw Mandefro,Furniture (House & Office)
46,251911418158,BIRUK YAYEH OFFICE AND HOUSEHOLD FURNITURE,Furniture (House & Office)
47,251911205883,BIZUYE TRADING,Furniture (House & Office)
48,251911200393,CITY BUSINESS COMPUTERS (CBC),Furniture (House & Office)
49,251911236780,CITYLIGHT MULTISUPPLIERS TRADING,Furniture (House & Office)
50,251911630162,COUNTRY TRADING PLC,Furniture (House & Office)
51,251911210350,DANTECHNO CRAFT P.L.C,Furniture (House & Office)
52,251911216090,Daruga P.L.C,Furniture (House & Office)
53,251911248450,Dcor Colonial Furniture,Furniture (House & Office)
54,251911121816,DEBIREWORK HAILE BEREK,Furniture (House & Office)
55,251911217176,Deca Engineering Center,Furniture (House & Office)
56,251911212452,DELGONE TRADING PLC,Furniture (House & Office)
57,251911205006,DERASA PLC,Furniture (House & Office)
58,251911666612,DEREJE HAILU WELDEYES,Furniture (House & Office)
59,251911419680,DEREJE LEYKUN CHKOOL,Furniture (House & Office)
60,251911203119,Deremate Treding P.L.C,Furniture (House & Office)
61,251939919191,Dream Furniture,Furniture (House & Office)
62,251912434788,Dubai Furinture,Furniture (House & Office)
63,251911204876,E.T GENERAL TRADING P.L.C,Furniture (House & Office)
64,251911489148,Eddy Styel,Furniture (House & Office)
65,251911448553,EDEN WONDIMU HAILE,Furniture (House & Office)
66,251911218103,EKUBEZGI HEBTEAB KIFLU,Furniture (House & Office)
67,251911239064,ELECTRO HUB ELACTRICAL AND CONSTRUCTION MATERIAL SHOP,Furniture (House & Office)
68,251911200378,ELECTROCOMMERCIAL S.C.,Furniture (House & Office)
69,251911217650,Elias Abdurahman General Importer,Furniture (House & Office)
70,251911221349,ELSA SOFA & CURTAIN SHOP,Furniture (House & Office)
71,251911253931,ESAYAS TSEGAYE MULUNEH,Furniture (House & Office)
72,251913194500,ET GENERAL P.L.C,Furniture (House & Office)
73,251911103071,ETHIO DELTA,Furniture (House & Office)
74,251911213093,ETHIO QUEEN BUSINESS ENTERPRISE,Furniture (House & Office)
75,251911238932,ETSUB BALTENA,Furniture (House & Office)
76,251911205512,Eyob Endale G/Selassie,Furniture (House & Office)
77,251911236211,EYOB NIGUSSE W/SILASE,Furniture (House & Office)
78,251911465619,F.H Furniture,Furniture (House & Office)
79,251911214900,FAME IMPEX TRADING PLC,Furniture (House & Office)
80,251911218278,FASIL TILAHUN BEYENE,Furniture (House & Office)
81,251911208530,FDM FURNITURE,Furniture (House & Office)
82,251942141414,FELEK TRADING PRIVATE LIMITED COMPANY,Furniture (House & Office)
83,251911214999,Fese Furniture,Furniture (House & Office)
84,251912501444,FIESTIA CATERING,Furniture (House & Office)
85,251911402997,FINE GLORY FURNITURE,Furniture (House & Office)
86,251911207185,FINFINE FURNITURE FACTORY PLC,Furniture (House & Office)
87,251913365238,Firehiwot Girma,Furniture (House & Office)
88,251911225566,Fitsum Kebede Importer,Furniture (House & Office)
89,251911615640,For Home Trading P.L.C,Furniture (House & Office)
90,251911216074,Frew Messele Zeffere,Furniture (House & Office)
91,251911239217,G.G ELECTRIC MATERIALS,Furniture (House & Office)
92,251911097843,G.M Shatter Works,Furniture (House & Office)
93,251911209674,G.M.M. GARMENT,Furniture (House & Office)
94,251911224684,GAVISH IMPORT EXPORT,Furniture (House & Office)
95,251911204263,Gedion General Curtain Works,Furniture (House & Office)
96,251911203550,General Electric Trading Enterprise,Furniture (House & Office)
97,251913596163,Get Pool And Furniture,Furniture (House & Office)
98,251911250571,GET-YAN PLC,Furniture (House & Office)
99,251911203340,GETFAM PLC,Furniture (House & Office)
